PartnerNumber,Name,Status,NewEngagement,Phone,Website,Address1Street,Address1City,Address1StateProvince,Address1PostalCode,Address1Country,ShortName,PooledFund,DDRequired,DDEACDone,EACReference,GlobalKeyAccount,UNSecretariatEntity,LevyPotentiallyApplies,ReasonForLevyNotApplying,LevyTreatment,PartnerCategory,Discriminator,CreatedBy,CreatedDate,LastModifiedBy,IsDeleted,DeletedBy
1070,OIRSA Organismo Internacional Regional De Sanidad Agropecuaria,Active,Not allowed,,,,,,,,OIRSA,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,OIRSA Organismo Internacional Regional De Sanidad Agropecuaria,UNOPSPartner,0,NOW(),0,FALSE,0
1161,UEMOA West African Economic and Monetary Union,Active,Allowed,,,,,,,,UEMOA,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,UEMOA West African Economic and Monetary Union,UNOPSPartner,0,NOW(),0,FALSE,0
1231,IRENA International Renewable Energy Agency,Active,Allowed,,,,,,,,IRENA,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,IRENA International Renewable Energy Agency,UNOPSPartner,0,NOW(),0,FALSE,0
1253,CTBTO Preparatory Commission for the Nuclear-Test-Ban Treaty Organization,Active,Allowed,,,,,,,,CTBTO,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,CTBTO Preparatory Commission for the Nuclear-Test-Ban Treaty Organization,UNOPSPartner,0,NOW(),0,FALSE,0
1435,NBI Nile Basin Initiative,Active,Allowed,,,,,,,,NBI,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,NBI Nile Basin Initiative,UNOPSPartner,0,NOW(),0,FALSE,0
1436,SADC Southern African Development Community,Active,Allowed,,,,,,,,SADC,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,SADC Southern African Development Community,UNOPSPartner,0,NOW(),0,FALSE,0
1449,OSCE Organization for Security and Co-operation in Europe,Active,Allowed,,,,,,,,OSCE,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,OSCE Organization for Security and Co-operation in Europe,UNOPSPartner,0,NOW(),0,FALSE,0
1577,OECS Organisation of Eastern Caribbean States,Active,Allowed,,,,,,,,OECS,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,OECS Organisation of Eastern Caribbean States,UNOPSPartner,0,NOW(),0,FALSE,0
1578,OPEC Organization of the Petroleum Exporting Countries,Active,Allowed,,,,,,,,OPEC,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,OPEC Organization of the Petroleum Exporting Countries,UNOPSPartner,0,NOW(),0,FALSE,0
1591,Nordic Development Fund,Active,Allowed,,,,,,,,Nordic Development Fund,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,Nordic Development Fund,UNOPSPartner,0,NOW(),0,FALSE,0
1603,PIFS Pacific Islands Forum Secretariat,Active,Allowed,,,,,,,,PIFS,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,PIFS Pacific Islands Forum Secretariat,UNOPSPartner,0,NOW(),0,FALSE,0
1604,OIF Organisation internationale de la Francophonie,Active,Allowed,,,,,,,,OIF,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,OIF Organisation internationale de la Francophonie,UNOPSPartner,0,NOW(),0,FALSE,0
1653,Office of the Quartet,Active,Allowed,,,,,,,,Office of the Quartet,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,Office of the Quartet,UNOPSPartner,0,NOW(),0,FALSE,0
1660,ICC International Criminal Court,Active,Allowed,,,,,,,,ICC,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,ICC International Criminal Court,UNOPSPartner,0,NOW(),0,FALSE,0
1674,Itaipu Binacional,Active,Allowed,,,,,,,,Itaipu Binacional,No,Yes,No,,FALSE,FALSE,Does not apply,3c) Programme Country,,Itaipu Binacional,UNOPSPartner,0,NOW(),0,FALSE,0
1675,G5 Sahel Group of Five for the Sahel,Active,Allowed,,,,,,,,G5 Sahel,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,G5 Sahel Group of Five for the Sahel,UNOPSPartner,0,NOW(),0,FALSE,0
1689,RSHQ Resolute Support HQ – NATO,Active,Allowed,,,,,,,,RSHQ,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,RSHQ Resolute Support HQ – NATO,UNOPSPartner,0,NOW(),0,FALSE,0
1704,C40 Climate Leadership Group,Active,Allowed,,,,,,,,C40,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,C40 Climate Leadership Group,UNOPSPartner,0,NOW(),0,FALSE,0
1792,ISA International Solar Alliance,Active,Allowed,,,,,,,,ISA,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,ISA International Solar Alliance,UNOPSPartner,0,NOW(),0,FALSE,0
1802,"ECSAHC East, Central, and Southern Africa Health Community",Active,Allowed,,,,,,,,ECSAHC,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,"ECSAHC East, Central, and Southern Africa Health Community",UNOPSPartner,0,NOW(),0,FALSE,0
1806,SACEP South Asia Cooperative Environment Programme,Active,Allowed,,,,,,,,SACEP,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,SACEP South Asia Cooperative Environment Programme,UNOPSPartner,0,NOW(),0,FALSE,0
1807,EBY Entidad Binacional Yacyretá,Active,Allowed,,,,,,,,EBY,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,EBY Entidad Binacional Yacyretá,UNOPSPartner,0,NOW(),0,FALSE,0
1811,ASEAN Association of Southeast Asian Nations,Active,Allowed,,,,,,,,ASEAN,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,ASEAN Association of Southeast Asian Nations,UNOPSPartner,0,NOW(),0,FALSE,0
1826,AGFUND Arab Gulf Fund for Development,Active,Allowed,,,,,,,,AGFUND,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,AGFUND Arab Gulf Fund for Development,UNOPSPartner,0,NOW(),0,FALSE,0
8002,Test Partner Account,Active,Allowed,,,,,,,,TPA,No,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,3DF Three Disease Fund,UNOPSPartner,0,NOW(),0,FALSE,0
1831,Test Partner Account,Active,Allowed,,,,,,,,TPA,No,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,3DF Three Disease Fund,UNOPSPartner,0,NOW(),0,FALSE,0
10000,Test Partner Account,Active,Allowed,,,,,,,,TPA,No,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,3DF Three Disease Fund,UNOPSPartner,0,NOW(),0,FALSE,0
1832,QA ADMIN PROSPECT ACCOUNT E2E - AUTOMATED - NOW PARTNER,Active,Allowed,123456789,,STREET,CITY,STATE,CODE,COUNTRY,QA_Partner,Yes,Yes,Yes,EAC REF,FALSE,FALSE,Potentially does not apply,,,ECEAP Estonian Center for Eastern Partnership,UNOPSPartner,0,NOW(),0,FALSE,0
1834,ADM - BRANCH ACC KOREA - E2E - now partner,Active,Allowed,23213123,WWW.GOOGLE.COM,,,,,,QA_Partner,No,Yes,Yes,EAC REF,FALSE,FALSE,Potentially does not apply,3a) Vertical Fund,Please consult funding source,South Korea,UNOPSPartner,0,NOW(),0,FALSE,0
1833,ADM - PARTNER ACC - E2E,Active,Allowed,12343224,WWW.GOOGLE.COM,Soi Witthayu 1,,,10330,Thailand,QA,Yes,Yes,Yes,EAC,FALSE,FALSE,Potentially does not apply,,,3MDG/Myanmar Access for Health,UNOPSPartner,0,NOW(),0,FALSE,0
1834,ADM - PROSPECT ACC - E2E - GMAIL EXT - NOW PARTNER,Active,Allowed,3221421,WWW.GOOGLE.COM,Jaipur Golden Hospital Road,Delhi,DL,110085,India,QA_Partner,No,No,No,,FALSE,FALSE,Potentially does not apply,,,ADM - PRTNR CTGRY,UNOPSPartner,0,NOW(),0,FALSE,0
1835,Testing with Lars,Active,Allowed,,,,,,,,Testing with Lars,No,No,Yes,,FALSE,FALSE,Potentially does not apply,,,Albania,UNOPSPartner,0,NOW(),0,FALSE,0
